,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,contraceptive
119,2,3,2,1,1,3,3,0,2
1273,3,3,2,1,1,1,3,0,1
344,4,4,1,1,1,3,3,0,2
191,3,4,3,1,0,3,2,0,2
31,4,4,2,1,1,3,2,0,2
189,3,2,3,1,1,3,2,0,2
794,3,3,3,1,0,2,1,0,1
239,3,3,1,1,1,2,3,0,2
1101,4,4,3,1,1,1,4,0,2
1411,4,4,2,1,1,2,3,0,1
304,4,4,1,1,0,2,4,0,2
942,2,2,0,1,0,3,2,0,1
1122,3,4,4,0,1,2,3,0,2
84,4,4,2,1,1,1,4,0,2
37,3,3,4,1,1,3,2,0,2
1353,4,4,1,1,0,2,4,0,1
233,2,3,1,1,1,2,4,0,2
1015,4,4,0,1,1,3,2,0,2
367,4,4,1,1,1,2,3,0,2
357,2,4,4,1,1,3,4,0,2
1201,4,4,3,1,1,1,2,0,2
1010,2,4,3,1,1,3,4,0,2
1361,3,3,2,1,1,3,2,0,1
875,4,4,3,1,0,1,4,0,1
623,4,4,3,0,1,2,4,0,1
902,3,4,2,1,1,1,3,0,1
528,4,4,2,1,0,1,3,0,1
99,2,3,5,1,1,2,1,0,2
418,4,4,2,1,0,1,4,0,1
988,2,3,5,1,1,2,3,0,1
971,4,4,2,1,1,2,4,0,1
97,4,4,5,1,1,2,1,0,2
0,2,3,3,1,1,2,3,0,2
355,2,2,1,1,0,3,2,1,2
1359,2,4,4,1,1,3,2,0,1
892,2,4,1,1,1,3,3,0,1
160,1,1,3,1,1,2,1,1,2
797,4,4,1,0,0,1,3,0,1
1378,4,4,1,1,0,3,2,0,1
573,2,3,1,1,0,4,4,0,1
843,3,4,2,1,1,3,4,0,1
378,2,3,1,1,1,2,3,0,2
398,2,2,0,1,1,2,2,0,2
823,3,3,3,1,1,3,1,0,1
541,4,4,1,1,0,1,3,0,1
1185,3,2,1,1,1,3,4,0,2
1395,3,2,3,1,1,3,3,0,1
855,3,4,3,1,1,3,3,0,1
708,4,4,3,1,1,1,4,0,1
172,2,4,1,1,1,2,4,0,2
1363,4,4,1,1,1,2,4,0,1
1387,3,4,2,1,0,2,4,0,1
705,2,3,1,1,1,2,1,0,1
1465,2,4,3,1,1,1,3,0,1
323,1,3,0,1,0,3,4,1,2
1458,2,2,3,1,1,2,2,1,1
55,2,2,2,1,1,2,2,1,2
205,2,3,2,1,1,3,1,0,2
943,3,3,1,1,1,3,2,0,1
780,4,4,2,1,1,1,3,0,1
499,4,4,1,1,0,2,4,0,1
1259,4,4,1,1,0,1,4,0,1
305,4,4,2,1,0,3,3,0,2
788,3,4,3,1,1,2,3,0,1
1249,4,4,1,1,1,2,4,0,1
92,2,2,3,1,1,2,1,0,2
300,1,2,7,1,1,2,4,0,2
365,2,3,3,1,1,3,4,0,2
906,4,4,4,1,1,2,3,0,1
803,2,3,2,1,1,3,1,0,1
1462,4,4,1,0,1,2,4,0,1
807,2,3,4,1,1,3,3,0,1
359,2,3,0,1,1,2,4,0,2
406,2,2,3,1,1,2,4,0,2
1231,4,4,3,1,1,1,3,0,1
309,3,4,2,1,1,2,3,0,2
90,2,3,0,1,1,2,1,0,2
524,4,4,1,1,1,3,4,0,1
649,1,2,4,1,1,2,3,0,1
1112,3,4,1,1,1,3,3,0,2
223,1,2,0,1,1,2,4,0,2
510,4,4,2,1,1,1,4,0,1
196,2,2,3,1,0,3,1,0,2
692,4,4,1,1,1,1,3,0,1
883,3,3,4,1,1,3,3,0,1
1188,4,4,2,1,1,1,3,0,2
1175,2,2,1,1,1,3,1,1,2
648,2,2,1,1,1,3,2,0,1
129,3,4,0,1,1,1,3,0,2
741,3,4,1,1,1,2,3,0,1
652,2,2,4,1,1,2,4,0,1
726,4,4,1,1,1,1,3,0,1
552,4,4,3,1,0,3,3,0,1
586,4,4,1,1,1,1,4,0,1
108,2,3,2,1,1,3,1,0,2
28,4,4,0,1,0,2,2,0,2
966,3,3,4,1,0,2,2,0,1
139,4,4,1,1,1,1,4,0,2
818,2,4,3,1,1,3,2,0,1
63,2,3,1,1,1,2,1,0,2
887,4,4,3,0,0,2,4,0,1
1216,4,4,4,1,1,3,3,0,1
301,4,2,0,1,0,2,2,0,2
1072,3,4,1,1,0,3,3,0,2
962,3,4,4,1,1,2,3,0,1
1221,4,4,1,1,1,1,3,0,1
133,3,4,1,1,1,3,1,1,2
916,4,4,2,1,0,1,4,0,1
990,2,3,3,1,1,2,3,0,1
181,2,4,1,1,1,2,2,0,2
1007,3,4,2,1,1,3,3,0,2
1291,4,4,1,1,1,1,4,0,1
449,3,4,1,1,1,2,4,0,1
1268,4,4,1,1,1,3,3,0,1
80,4,4,0,0,1,1,4,0,2
1463,1,3,2,1,1,3,4,0,1
1041,3,3,2,1,0,3,2,0,2
1069,2,3,2,1,1,3,1,0,2
1397,3,3,2,1,1,3,1,0,1
1383,3,4,2,1,0,2,4,0,1
791,3,4,5,1,1,3,1,0,1
1252,3,4,2,1,1,1,4,0,1
348,2,2,3,1,1,3,3,0,2
996,2,3,4,1,0,3,2,0,1
1399,3,3,1,1,1,3,1,0,1
294,4,4,1,1,1,1,3,0,2
785,3,3,3,1,1,2,2,0,1
1134,3,4,0,1,1,3,3,0,2
136,4,4,2,1,1,3,3,0,2
566,4,4,1,0,0,1,4,0,1
1108,2,3,1,1,1,2,1,0,2
316,1,4,2,1,0,2,3,0,2
848,2,3,2,1,1,2,4,0,1
973,1,2,2,1,1,3,4,0,1
667,2,4,3,1,1,4,4,0,1
901,3,4,2,1,1,1,2,0,1
1182,3,4,1,0,1,2,3,0,2
881,1,3,1,1,1,3,3,1,1
956,2,2,1,1,1,3,2,0,1
1225,2,2,7,1,1,3,4,0,1
231,2,4,1,1,1,1,3,0,2
1116,4,4,1,1,1,1,3,0,2
1385,4,4,1,1,1,2,4,0,1
356,2,4,2,1,1,1,4,0,2
972,4,4,2,1,1,1,4,0,1
1454,3,4,5,1,1,1,4,0,1
61,2,3,1,1,1,2,3,0,2
1173,2,4,1,1,1,3,4,0,2
253,4,4,1,1,0,1,4,0,2
159,2,2,2,1,1,3,1,0,2
1414,4,3,2,1,0,2,3,0,1
873,2,3,2,1,1,3,3,0,1
1095,3,4,1,1,1,3,2,0,2
334,4,4,1,0,1,3,4,0,2
167,4,4,1,1,1,1,4,0,2
1299,4,4,2,1,1,1,3,0,1
978,3,4,2,1,1,2,4,0,1
490,4,3,3,1,1,3,3,0,1
340,2,3,4,1,0,3,2,0,2
1328,3,4,1,1,1,3,3,0,1
950,3,4,4,1,0,3,3,0,1
1227,2,4,2,1,1,1,4,0,1
1371,3,4,3,1,1,2,4,0,1
933,4,4,2,0,1,2,4,0,1
737,2,2,5,1,1,3,3,0,1
1219,4,4,1,1,1,1,3,0,1
909,3,3,3,1,1,3,1,1,1
1360,3,4,4,1,1,3,1,0,1
388,2,4,1,1,0,3,4,0,2
938,3,3,3,1,0,2,4,0,1
815,2,4,3,1,1,3,3,0,1
1424,2,4,2,1,1,3,2,0,1
168,4,4,0,1,1,2,4,0,2
1174,3,2,1,1,1,3,1,0,2
423,2,4,6,1,1,3,4,0,1
660,2,3,1,1,1,3,1,0,1
1148,3,3,1,1,0,2,4,0,2
763,3,4,3,1,1,2,3,0,1
1464,2,2,1,1,1,2,4,0,1
986,4,4,1,1,1,1,4,0,1
856,2,3,3,1,1,3,4,0,1
691,2,4,3,1,1,3,3,0,1
707,3,3,3,1,1,2,3,0,1
352,2,2,2,1,1,3,1,1,2
34,2,3,1,1,1,3,3,0,2
232,3,4,0,1,0,3,1,0,2
679,2,2,4,1,1,2,1,0,1
363,2,3,2,1,0,2,4,0,2
725,4,4,1,0,1,3,3,0,1
1190,3,4,2,1,1,2,2,0,2
1431,4,4,2,0,0,2,4,0,1
749,4,4,2,1,1,3,4,0,1
318,3,4,1,1,1,3,3,0,2
65,2,4,1,1,1,3,1,0,2
671,2,4,3,1,1,3,4,0,1
764,3,3,3,1,1,3,3,0,1
593,4,4,2,1,0,1,3,0,1
1117,4,4,0,1,1,3,4,0,2
997,2,3,6,1,1,2,4,0,1
657,4,4,1,1,1,3,2,0,1
1340,2,4,3,1,1,3,3,0,1
852,3,3,4,1,1,3,4,0,1
287,2,4,4,1,1,3,3,0,2
1103,3,3,1,1,0,3,4,0,2
798,3,3,3,1,1,2,1,0,1
7,3,3,1,1,0,3,2,0,2
262,3,3,3,1,0,2,4,0,2
1160,3,4,0,1,1,3,3,0,2
615,3,4,7,1,1,2,4,0,1
695,4,4,1,1,1,2,3,0,1
842,4,4,2,1,0,2,4,0,1
144,2,4,2,1,1,3,4,0,2
918,4,4,2,1,1,4,3,0,1
1350,2,3,1,1,1,3,1,0,1
976,2,3,3,1,0,3,2,0,1
494,4,4,2,1,1,2,4,0,1
792,3,3,3,1,0,3,2,0,1
867,1,2,3,1,1,3,2,1,1
201,2,4,0,1,1,3,3,0,2
1238,3,4,2,1,1,3,3,0,1
703,2,3,4,1,1,2,1,0,1
